sl no,Detection Name,Category,TTP,Severity
2655,Suspicious New Service Creation,windows,T1543.003,high
2656,Suspicious New-PSDrive to Admin Share,windows,T1021.002,medium
2657,Suspicious Non PowerShell WSMAN COM Provider,windows,"T1059.001, T1021.003",medium
2658,Suspicious Non-Browser Network Communication With Google API,windows,T1102,medium
2659,Suspicious Non-Browser Network Communication With Telegram API,windows,"T1102, T1567, T1105",medium
2660,Suspicious NTLM Authentication on the Printer Spooler Service,windows,T1212,high
2661,Suspicious Obfuscated PowerShell Code,windows,,high
2662,Suspicious Outbound SMTP Connections,windows,T1048.003,medium
2663,Suspicious Outlook Child Process,windows,T1204.002,high
2664,Suspicious Outlook Macro Created,windows,"T1137, T1008, T1546",high
2665,Suspicious Parent Double Extension File Execution,windows,T1036.007,high
2666,Suspicious Path In Keyboard Layout IME File Registry Value,windows,T1685,high
2667,Suspicious Persistence Via VMwareToolBoxCmd.EXE VM State Change Script,windows,T1059,high
2668,Suspicious Ping/Del Command Combination,windows,T1070.004,high
2669,Suspicious Plink Port Forwarding,windows,"T1572, T1021.001",high
2670,Suspicious Powercfg Execution To Change Lock Screen Timeout,windows,,medium
2671,Suspicious PowerShell Download - PoshModule,windows,T1059.001,medium
2672,Suspicious PowerShell Download - Powershell Script,windows,T1059.001,medium
2673,Suspicious PowerShell Download and Execute Pattern,windows,T1059.001,high
2674,Suspicious PowerShell Encoded Command Patterns,windows,T1059.001,high
2675,Suspicious PowerShell Get Current User,windows,T1033,low
2676,Suspicious PowerShell IEX Execution Patterns,windows,T1059.001,high
2677,Suspicious PowerShell In Registry Run Keys,windows,T1547.001,medium
2678,Suspicious PowerShell Invocation From Script Engines,windows,T1059.001,medium
2679,Suspicious PowerShell Invocations - Generic,windows,T1059.001,high
2680,Suspicious PowerShell Invocations - Generic - PowerShell Module,windows,T1059.001,high
2681,Suspicious PowerShell Invocations - Specific,windows,T1059.001,high
2682,Suspicious PowerShell Invocations - Specific - PowerShell Module,windows,T1059.001,high
2683,Suspicious PowerShell Invocations - Specific - ProcessCreation,windows,,medium
2684,Suspicious PowerShell Mailbox Export to Share,windows,,critical
2685,Suspicious PowerShell Mailbox Export to Share - PS,windows,,critical
2686,Suspicious PowerShell Parameter Substring,windows,T1059.001,high
2687,Suspicious PowerShell Parent Process,windows,T1059.001,high
2688,Suspicious PowerShell WindowStyle Option,windows,T1564.003,medium
2689,Suspicious Printer Driver Empty Manufacturer,windows,T1574,high
2690,Suspicious Process Access of MsMpEng by WerFaultSecure - EDR-Freeze,windows,T1685,high
2691,Suspicious Process Access to LSASS with Dbgcore/Dbghelp DLLs,windows,"T1003.001, T1685",high
2692,Suspicious Process By Web Server Process,windows,"T1505.003, T1190",high
2693,Suspicious Process Created Via Wmic.EXE,windows,T1047,high
